version,file,source_file,output_file,file_size_kb,status,error,copied_at
v008,202611_CSCE_120_521_54672_v008.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_120_521_54672.pdf"", ""202611_CSCE_120_521_54672.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_CSCE_120_521_54672_v008.pdf"", ""202611_CSCE_120_521_54672_v008.pdf"")",298.2,ok,,2026-03-10T21:43:35.871281
v008,202611_ISEN_302_503_11195_v008.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_ISEN_302_503_11195.pdf"", ""202611_ISEN_302_503_11195.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_ISEN_302_503_11195_v008.pdf"", ""202611_ISEN_302_503_11195_v008.pdf"")",290.5,ok,,2026-03-10T21:43:43.540089
v008,202611_CSCE_410_500_42396_v008.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_410_500_42396.pdf"", ""202611_CSCE_410_500_42396.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_CSCE_410_500_42396_v008.pdf"", ""202611_CSCE_410_500_42396_v008.pdf"")",283.6,ok,,2026-03-10T21:43:49.461223
v008,202611_CSCE_221_200_43689_v008.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_221_200_43689.pdf"", ""202611_CSCE_221_200_43689.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_CSCE_221_200_43689_v008.pdf"", ""202611_CSCE_221_200_43689_v008.pdf"")",236.5,ok,,2026-03-10T21:43:55.559656
v010,202611_CSCE_441_200_54770_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_441_200_54770.pdf"", ""202611_CSCE_441_200_54770.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202611_CSCE_441_200_54770_v010.pdf"", ""202611_CSCE_441_200_54770_v010.pdf"")",232.6,ok,,2026-03-10T22:58:30.766528
v010,202541_CSCE_708_600_57946_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_708_600_57946.pdf"", ""202541_CSCE_708_600_57946.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_CSCE_708_600_57946_v010.pdf"", ""202541_CSCE_708_600_57946_v010.pdf"")",303.7,ok,,2026-03-10T23:01:30.526855
v010,202611_CSCE_614_700_54779_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_614_700_54779.pdf"", ""202611_CSCE_614_700_54779.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202611_CSCE_614_700_54779_v010.pdf"", ""202611_CSCE_614_700_54779_v010.pdf"")",314.1,ok,,2026-03-10T23:01:39.060065
v010,202611_CSCE_436_500_58357_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_436_500_58357.pdf"", ""202611_CSCE_436_500_58357.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202611_CSCE_436_500_58357_v010.pdf"", ""202611_CSCE_436_500_58357_v010.pdf"")",516.5,ok,,2026-03-10T23:01:46.444481
v010,202611_CSCE_470_500_58365_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_470_500_58365.pdf"", ""202611_CSCE_470_500_58365.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202611_CSCE_470_500_58365_v010.pdf"", ""202611_CSCE_470_500_58365_v010.pdf"")",241.8,ok,,2026-03-10T23:01:56.490791
v010,202611_CSCE_313_504_12620_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_313_504_12620.pdf"", ""202611_CSCE_313_504_12620.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202611_CSCE_313_504_12620_v010.pdf"", ""202611_CSCE_313_504_12620_v010.pdf"")",284.9,ok,,2026-03-11T01:02:55.917789
v010,202611_CSCE_314_502_55143_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_314_502_55143.pdf"", ""202611_CSCE_314_502_55143.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202611_CSCE_314_502_55143_v010.pdf"", ""202611_CSCE_314_502_55143_v010.pdf"")",262.4,ok,,2026-03-11T01:03:04.266215
v010,202541_CSCE_676_600_62085_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_676_600_62085.pdf"", ""202541_CSCE_676_600_62085.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_CSCE_676_600_62085_v010.pdf"", ""202541_CSCE_676_600_62085_v010.pdf"")",208.6,ok,,2026-03-11T01:03:13.231353
v010,202541_CSCE_313_597_63140_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_313_597_63140.pdf"", ""202541_CSCE_313_597_63140.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_CSCE_313_597_63140_v010.pdf"", ""202541_CSCE_313_597_63140_v010.pdf"")",370.6,ok,,2026-03-11T01:03:21.648068
v010,202541_CSCE_111_500_49744_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_500_49744.pdf"", ""202541_CSCE_111_500_49744.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_CSCE_111_500_49744_v010.pdf"", ""202541_CSCE_111_500_49744_v010.pdf"")",305.5,ok,,2026-03-11T01:22:59.317930
v010,202541_ISEN_302_500_41996_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_302_500_41996.pdf"", ""202541_ISEN_302_500_41996.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_ISEN_302_500_41996_v010.pdf"", ""202541_ISEN_302_500_41996_v010.pdf"")",283.5,ok,,2026-03-11T01:23:03.065885
v010,202541_CSCE_111_501_10917_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_501_10917.pdf"", ""202541_CSCE_111_501_10917.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_CSCE_111_501_10917_v010.pdf"", ""202541_CSCE_111_501_10917_v010.pdf"")",305.5,ok,,2026-03-11T01:23:07.485322
v010,202541_ISEN_302_501_11603_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_302_501_11603.pdf"", ""202541_ISEN_302_501_11603.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_ISEN_302_501_11603_v010.pdf"", ""202541_ISEN_302_501_11603_v010.pdf"")",292.7,ok,,2026-03-11T01:23:09.377275
