version,file,input_file,output_file,course_id,section,crn,chunk_count,chunk_size_setting,overlap_setting,input_tokens,avg_chunk_tokens,llm_status,llm_error,processed_at,status
v010,202541_CSCE_676_600_62085_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_CSCE_676_600_62085_v010.md"", ""202541_CSCE_676_600_62085_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_676_600_62085_v010.json"", ""202541_CSCE_676_600_62085_v010.json"")",CSCE 676,600,62085,3,600,100,1464,558,ok,,2026-03-11T01:03:20.122401,ok
v010,202541_CSCE_313_597_63140_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_CSCE_313_597_63140_v010.md"", ""202541_CSCE_313_597_63140_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_313_597_63140_v010.json"", ""202541_CSCE_313_597_63140_v010.json"")",CSCE 313,597,63140,4,600,100,2377,677,ok,,2026-03-11T01:03:34.486895,ok
v010,202541_CSCE_111_500_49744_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_CSCE_111_500_49744_v010.md"", ""202541_CSCE_111_500_49744_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_111_500_49744_v010.json"", ""202541_CSCE_111_500_49744_v010.json"")",CSCE 111,500,49744,4,600,100,2220,639,ok,,2026-03-11T01:23:07.460036,ok
v010,202541_ISEN_302_500_41996_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_ISEN_302_500_41996_v010.md"", ""202541_ISEN_302_500_41996_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_ISEN_302_500_41996_v010.json"", ""202541_ISEN_302_500_41996_v010.json"")",ISEN 302,500,41996,4,600,100,2044,584,ok,,2026-03-11T01:23:09.357247,ok
v010,202541_CSCE_111_501_10917_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_CSCE_111_501_10917_v010.md"", ""202541_CSCE_111_501_10917_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_111_501_10917_v010.json"", ""202541_CSCE_111_501_10917_v010.json"")",CSCE 111,501,10917,4,600,100,2219,638,ok,,2026-03-11T01:23:12.789388,ok
v010,202541_CSCE_111_502_10918_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_CSCE_111_502_10918_v010.md"", ""202541_CSCE_111_502_10918_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_111_502_10918_v010.json"", ""202541_CSCE_111_502_10918_v010.json"")",CSCE 111,502,10918,4,600,100,2220,639,ok,,2026-03-11T01:23:20.933391,ok
v010,202541_ISEN_302_501_11603_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_ISEN_302_501_11603_v010.md"", ""202541_ISEN_302_501_11603_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_ISEN_302_501_11603_v010.json"", ""202541_ISEN_302_501_11603_v010.json"")",ISEN 302,501,11603,3,600,100,1337,519,ok,,2026-03-11T01:23:22.688330,ok
v010,202541_CSCE_111_503_45409_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_CSCE_111_503_45409_v010.md"", ""202541_CSCE_111_503_45409_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_111_503_45409_v010.json"", ""202541_CSCE_111_503_45409_v010.json"")",CSCE 111,503,45409,4,600,100,2219,638,ok,,2026-03-11T01:23:27.877262,ok
v010,202541_ISEN_302_503_11605_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_ISEN_302_503_11605_v010.md"", ""202541_ISEN_302_503_11605_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_ISEN_302_503_11605_v010.json"", ""202541_ISEN_302_503_11605_v010.json"")",ISEN 302,503,11605,4,600,100,2041,583,ok,,2026-03-11T01:23:28.173477,ok
v010,202541_CSCE_111_504_22909_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_CSCE_111_504_22909_v010.md"", ""202541_CSCE_111_504_22909_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_111_504_22909_v010.json"", ""202541_CSCE_111_504_22909_v010.json"")",CSCE 111,504,22909,4,600,100,2220,639,ok,,2026-03-11T01:23:35.787802,ok
