version,file,source_pdf,output_file,body_font_size_pt,annotated_lines,plain_lines,output_tokens,page_count,status,error,processed_at
v009,202611_ISEN_302_503_11195_v009.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_ISEN_302_503_11195.pdf"", ""202611_ISEN_302_503_11195.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_ISEN_302_503_11195_v009.md"", ""202611_ISEN_302_503_11195_v009.md"")",11.0,63,268,5240,12,ok,,2026-03-10T21:52:28.685086
v009,202611_CSCE_410_500_42396_v009.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_410_500_42396.pdf"", ""202611_CSCE_410_500_42396.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_410_500_42396_v009.md"", ""202611_CSCE_410_500_42396_v009.md"")",11.0,45,512,4442,14,ok,,2026-03-10T21:52:30.686009
v009,202611_CSCE_221_200_43689_v009.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_221_200_43689.pdf"", ""202611_CSCE_221_200_43689.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_221_200_43689_v009.md"", ""202611_CSCE_221_200_43689_v009.md"")",11.0,32,391,4703,14,ok,,2026-03-10T21:52:32.663722
v010,202611_CSCE_441_200_54770_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_441_200_54770.pdf"", ""202611_CSCE_441_200_54770.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_441_200_54770_v010.md"", ""202611_CSCE_441_200_54770_v010.md"")",11.0,53,291,4406,11,ok,,2026-03-10T22:58:30.848730
v010,202541_CSCE_708_600_57946_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_708_600_57946.pdf"", ""202541_CSCE_708_600_57946.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_708_600_57946_v010.md"", ""202541_CSCE_708_600_57946_v010.md"")",11.0,149,271,5406,14,ok,,2026-03-10T23:01:30.589187
v010,202611_CSCE_614_700_54779_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_614_700_54779.pdf"", ""202611_CSCE_614_700_54779.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_614_700_54779_v010.md"", ""202611_CSCE_614_700_54779_v010.md"")",11.0,184,218,5341,14,ok,,2026-03-10T23:01:39.113007
v010,202611_CSCE_436_500_58357_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_436_500_58357.pdf"", ""202611_CSCE_436_500_58357.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_436_500_58357_v010.md"", ""202611_CSCE_436_500_58357_v010.md"")",11.0,99,905,9872,28,ok,,2026-03-10T23:01:46.518231
v010,202611_CSCE_470_500_58365_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_470_500_58365.pdf"", ""202611_CSCE_470_500_58365.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_470_500_58365_v010.md"", ""202611_CSCE_470_500_58365_v010.md"")",11.0,97,213,4259,11,ok,,2026-03-10T23:01:56.539854
v010,202611_CSCE_638_600_54988_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_638_600_54988.pdf"", ""202611_CSCE_638_600_54988.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_638_600_54988_v010.md"", ""202611_CSCE_638_600_54988_v010.md"")",11.0,40,273,3885,11,ok,,2026-03-11T01:02:43.660264
v010,202611_CSCE_313_504_12620_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_313_504_12620.pdf"", ""202611_CSCE_313_504_12620.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_313_504_12620_v010.md"", ""202611_CSCE_313_504_12620_v010.md"")",11.0,46,353,5141,15,ok,,2026-03-11T01:02:55.987926
